,TEAM,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,"AST
Ratio",OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,POSS
1,Golden State Warriors,44,40,4,2132,113.3,101.4,11.9,68.5,1.89,20.3,27.5,70.8,50.7,15.1,56,59.1,100.24,58.2,"4,454"
2,San Antonio Spurs,44,38,6,2112,109.9,94.8,15.1,61.7,1.88,19.2,27.1,76.5,53.1,14.1,53.3,56.8,94.73,60.3,"4,172"
3,Oklahoma City Thunder,45,33,12,2175,111.2,102.6,8.6,54.6,1.43,16.4,33.6,70.9,53.1,15.9,52,56.3,96.94,55.9,"4,395"
4,Cleveland Cavaliers,42,30,12,2036,106.9,101.4,5.5,58.7,1.58,16.9,29,74.6,51.7,14.7,50.9,54.2,93.51,52.5,"3,966"
5,LA Clippers,43,28,15,2079,107.2,103.1,4.1,60.5,1.79,17.6,24.4,70,47.7,13.3,51.9,55.3,97.27,52.9,"4,210"
5,Toronto Raptors,43,28,15,2074,106.7,102.9,3.8,51.1,1.35,14.6,29.5,74.1,51.9,14.5,49.6,54.5,93.91,52.3,"4,068"
7,Atlanta Hawks,45,26,19,2165,105,102.4,2.6,66.2,1.72,19.1,24.4,68.6,47,15.3,51.4,55.1,97.14,52.1,"4,377"
8,Chicago Bulls,43,25,18,2104,103,102.3,0.7,56.9,1.49,16,30.7,70.7,51.4,14.8,47.6,51.9,96.83,50.9,"4,244"
8,Dallas Mavericks,45,25,20,2195,103.6,103.6,0,58.8,1.65,16.7,23.7,72.4,48.3,13.6,49.6,53.7,96.01,50.8,"4,390"
8,Memphis Grizzlies,45,25,20,2170,102.5,105.1,-2.6,58.9,1.55,16.3,28.2,71.2,49.1,14.3,47,52.1,93.69,48.9,"4,237"
11,Boston Celtics,44,23,21,2127,104.1,100.6,3.4,62.2,1.66,17.4,29,70.2,49.2,14.5,48.5,52.5,99.26,51.8,"4,391"
11,Detroit Pistons,44,23,21,2147,103.9,102.9,1,49.7,1.37,14.2,33,74.6,52.5,14.2,48.3,51.1,96.17,49.2,"4,314"
11,Houston Rockets,45,23,22,2185,105.7,106.8,-1.1,58.5,1.3,16,29.4,70.4,49.6,16.7,50.9,54.9,97.7,48,"4,449"
11,Indiana Pacers,44,23,21,2132,103.7,101.5,2.2,53.2,1.34,15.3,27.4,70.1,48.8,15.3,49.6,53.6,97.87,51.6,"4,353"
11,Miami Heat,44,23,21,2127,102.4,102.7,-0.3,54.8,1.38,16,25.8,71.8,49.7,15.4,49.9,53.7,92.59,51.3,"4,101"
16,New York Knicks,46,22,24,2228,104.6,106.1,-1.5,55.6,1.49,15.9,29.5,70.3,50.3,14.6,48.3,52.9,93.94,49.5,"4,357"
17,Charlotte Hornets,44,21,23,2137,104.4,103.7,0.7,58.1,1.65,16.2,24.9,75,49.6,13.2,49,53.5,96.29,49.7,"4,291"
18,Orlando Magic,42,20,22,2046,102.9,103.4,-0.4,58.9,1.55,17.2,28,72.8,50.2,15.3,49.4,52.7,94.56,49.4,"4,029"
18,Portland Trail Blazers,46,20,26,2218,105.6,106.8,-1.2,55.5,1.42,16.1,30.4,73.9,51.8,15.4,50.5,53.6,95.9,47.9,"4,435"
18,Sacramento Kings,43,20,23,2079,105.1,106.1,-1,61.9,1.48,17.6,28.8,73.1,51.1,16.4,50.8,54.4,100.25,50,"4,341"
18,Washington Wizards,41,20,21,1968,104,105.6,-1.6,62.4,1.63,17.9,25,72.2,48.1,15,50.8,54.4,98.3,48.8,"4,029"
22,Milwaukee Bucks,46,19,27,2223,102.9,108.2,-5.3,61.5,1.53,17.7,28.7,68.3,48.8,15.9,49.6,53.5,94.62,47.7,"4,386"
22,Utah Jazz,43,19,24,2094,105.2,104.8,0.4,51.3,1.23,14.6,31.4,71.3,51,16.1,49.5,53.6,91.54,49.4,"3,990"
24,Denver Nuggets,44,17,27,2122,103.8,108.1,-4.3,60.7,1.53,16.8,31.1,72.6,51.1,15.2,48,52.2,95.33,47.2,"4,218"
25,New Orleans Pelicans,43,16,27,2079,104.8,107.2,-2.4,57.7,1.62,16.8,24.7,73.5,48.9,13.9,49.9,54,97.02,48.4,"4,197"
26,Minnesota Timberwolves,45,14,31,2185,102.5,106.2,-3.7,59.9,1.42,16.6,27.9,71.1,49.7,15.9,48.1,53.4,95.59,48.9,"4,347"
26,Phoenix Suns,45,14,31,2165,102.4,107.3,-4.8,54.2,1.23,15.4,28.3,73,49.9,16.8,49.7,53.3,99.04,45.9,"4,461"
28,Brooklyn Nets,44,11,33,2122,99,107,-8,56.8,1.42,16.4,27.3,72.5,49.5,15.7,47.7,51.2,95.75,45.4,"4,227"
29,Los Angeles Lakers,46,9,37,2213,99.2,109.5,-10.3,52.3,1.3,14.3,27.3,70,47.9,14.6,45.7,50.3,97.02,42.3,"4,470"
30,Philadelphia 76ers,44,6,38,2127,96,106.5,-10.6,57.3,1.13,15.5,26.2,71.3,48.3,18.2,48.3,51.3,97.62,42.5,"4,325"